request_id,timestamp,endpoint,method,status_code,response_time_ms,user_agent
f9962189-591b-472f-9b28-e554b1d8275c,2025-09-14 10:04:59,/api/v1/products,PUT,200,1686,"Mozilla/5.0 (Linux; Android 3.2.1) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/39.0.888.0 Safari/534.0"
4b38a415-2544-48ef-ba45-67a53f93f2d1,2024-03-27 15:48:41,/api/v1/orders,GET,400,882,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_3 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) FxiOS/12.5b6848.0 Mobile/36L998 Safari/531.0"
bb555fe5-9888-4335-a4eb-8a3a7a0a5f5e,2024-02-14 17:08:42,/api/v1/orders,DELETE,200,1131,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; am-ET) AppleWebKit/531.37.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6531.37.4"
6e8f2c22-9c5b-4148-8af3-d5c08485d419,2024-10-25 22:32:32,/api/v1/cart,PATCH,400,1239,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/3.1)
9eeacdfa-ff30-442b-abb9-93ca539c94ff,2025-03-02 05:54:47,/api/v1/auth/login,PATCH,200,1547,Mozilla/5.0 (Android 2.3.4; Mobile; rv:45.0) Gecko/45.0 Firefox/45.0
3b8ffc98-3942-43e8-aaa5-9179d4edb67a,2025-06-26 18:26:42,/api/v1/auth/login,DELETE,200,450,Opera/9.24.(Windows NT 6.2; it-IT) Presto/2.9.188 Version/10.00
dd1ea1ed-9513-44ac-a030-e73c900a16c2,2024-07-19 17:14:34,/api/v1/auth/login,PUT,400,1993,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/5.1)
6dbd3e5e-dd50-4915-a753-39b1b0a59cf9,2025-07-29 05:37:03,/api/v1/products,GET,400,1299,Opera/8.73.(Windows NT 5.01; sat-IN) Presto/2.9.189 Version/12.00
9f857370-08d5-4156-b886-43e9b0ef1304,2024-02-28 07:57:41,/api/v1/products,GET,200,633,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/61.0.872.0 Safari/534.0"
257ad352-5922-44eb-b931-13f1a3927471,2024-11-12 14:57:34,/api/v1/cart,PATCH,200,624,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Trident/5.0)
443aac43-8e60-4532-90a8-6ff976a97eb5,2024-11-05 14:25:56,/api/v1/products,POST,404,103,Mozilla/5.0 (Windows CE; mk-MK; rv:1.9.2.20) Gecko/2750-06-01 00:08:11.265331 Firefox/3.8
